auto-id,auto-testconfig_id,cfg-active,Active,cfg-scenario_name,cfg-carrier_01-test_type,cfg-carrier_01-rat,cfg-carrier_01-standard,cfg-carrier_01-band,cfg-carrier_01-bandwidth-MHz,cfg-carrier_01-rate-Mbps,cfg-carrier_01-mcs,cfg-carrier_01-channel,cfg-carrier_01-frequency-MHz,cfg-carrier_01-chain_mask,cfg-carrier_01-core_type,cfg-carrier_01-rx_power_range-dBm,cfg-carrier_01-packet_num,cfg-carrier_01-capture_time-ms,cfg-carrier_01-packet_length-bytes,cfg-carrier_01-analog_gain_index,cfg-carrier_01-digital_gain-dB,cfg-carrier_01-fem_pa_mode,cfg-carrier_01-ipg-us,auto-row_index,meas-checker_name,Error,checker_result,error_message,meas-antenna,meas-carrier,meas-domain,meas-rx_power_level-dBm,ecid,wl_fw_version,temperature-C,per,per-%,rssi_avg-dBm,sensitivity_per-dBm,sensitivity_per_lerp-dBm,sensitivity_per_h2l-dBm,sensitivity_per_h2l_lerp-dBm,waveform_filename,carrier_measurement_status,Measurement Time (s),carrier_error_message
acee19ba863f11f1902df1038fb33aeb,1,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-78.5,200,0,1024,0,0,,,1,rfdate_error_status,True,True,"('Send command failed:', 'EventParser: Got wrong length for AciTestPassthroughResponseEvent - 24 expected at least 28\nWifiPhyCommand got wrong status 5 in response\nERROR: Command DebugGetTemperatureCommand failed: Response is too short\n\nDebugGetTemperatureEvent:\n\ti_temperature = 0\n\te_status = 0\n\ta_reserved_0 = 0\n\ta_reserved_1 = 0\n\ta_reserved_2 = 0\n')",,,,,,,,,,,,,,,,,,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,2,,False,,,5GCore0,carrier_01,proxima_before,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",25.0,,,,,,,,,,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,3,,False,,,5GCore0,carrier_01,fem_before,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",25.0,,,,,,,,,,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,4,,False,,,5GCore0,carrier_01,pmu_before,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",29.46,,,,,,,,,,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,5,,False,,,5GCore0,carrier_01,proxima_after,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",25.0,,,,,,,,,,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,6,,False,,,5GCore0,carrier_01,fem_after,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",25.0,,,,,,,,,,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,7,,False,,,5GCore0,carrier_01,pmu_after,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",29.73,,,,,,,,,,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,8,,False,,,5GCore0,carrier_01,,-79.5,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",,0.0,0.0,-75.25,,,,,,,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,9,,False,,,5GCore0,carrier_01,,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",,,,,unknown,unknown,unknown,unknown,/user/WL_11N_HT_20MHz_1SS_MCS0_UNICAST.iqvsg,success,15.152,
acee19ba863f11f1902df1038fb33aeb,2,True,True,ALL,rx_pkt,WIFI,n,5,20,,0,36,5180,1,normal,-79.5,200,0,1024,0,0,,,10,rfdate_error_status,False,False,,,,,,017851EEA602E82E,"fwVersion: Rev 55.2.900, phyVersion: 1.1.36.235, core80211Version: 310.2.700 proxima_silicon_b0",,,,,,,,,,,15.152,
